Tiempo(s),X(km),Y(km),Z(km),Velocidad(km/s),DistanciaTierra(km),DistanciaLuna(km),Altitud(km)
0,6671.000,0.000,0.000,10.8000,6671.000,377729.000,300.000
60,6679.914,59.461,183.259,10.8058,6680.179,377719.821,309.179
120,6706.581,119.406,366.512,10.8115,6707.644,377692.356,336.644
180,6750.882,180.315,549.756,10.8173,6753.289,377646.711,382.289
240,6812.690,242.666,732.985,10.8230,6817.010,377582.990,446.010
300,6891.870,306.932,916.193,10.8288,6898.701,377501.299,527.701
360,6988.277,373.579,1099.377,10.8345,6998.255,377401.745,627.255
420,7101.759,443.072,1282.530,10.8403,7115.567,377284.433,744.567
480,7232.157,515.870,1465.648,10.8460,7250.532,377149.468,879.532
540,7379.300,592.428,1648.726,10.8518,7403.043,376996.957,1032.043
600,7543.014,673.196,1831.758,10.8575,7572.995,376827.005,1201.995
660,7723.113,758.619,2014.741,10.8632,7760.282,376639.718,1389.282
720,7919.406,849.136,2197.668,10.8689,7964.799,376435.201,1593.799
780,8131.692,945.184,2380.535,10.8746,8186.440,376213.560,1815.440
840,8359.765,1047.191,2563.337,10.8803,8425.098,375974.902,2054.098
900,8603.409,1155.582,2746.068,10.8860,8680.669,375719.331,2309.669
960,8862.403,1270.777,2928.725,10.8917,8953.047,375446.953,2582.047
1020,9136.516,1393.188,3111.300,10.8974,9242.126,375157.874,2871.126
1080,9425.512,1523.224,3293.791,10.9031,9547.800,374852.200,3176.800
1140,9729.148,1661.286,3476.191,10.9087,9869.964,374530.036,3498.964
1200,10047.172,1807.772,3658.496,10.9144,10208.512,374191.488,3837.512
1260,10379.328,1963.071,3840.701,10.9200,10563.337,373836.663,4192.337
1320,10725.351,2127.568,4022.800,10.9256,10934.336,373465.664,4563.336
1380,11084.970,2301.641,4204.789,10.9312,11321.401,373078.599,4950.401
1440,11457.909,2485.662,4386.663,10.9368,11724.427,372675.573,5353.427
1500,11843.883,2679.997,4568.417,10.9424,12143.308,372256.692,5772.308
1560,12242.602,2885.005,4750.045,10.9479,12577.940,371822.060,6206.940
1620,12653.771,3101.040,4931.543,10.9534,13028.215,371371.785,6657.215
1680,13077.088,3328.447,5112.906,10.9590,13494.028,370905.972,7123.028
1740,13512.245,3567.566,5294.129,10.9645,13975.274,370424.726,7604.274
1800,13958.928,3818.730,5475.206,10.9700,14471.847,369928.153,8100.847
1860,14416.817,4082.266,5656.134,10.9754,14983.641,369416.359,8612.641
1920,14885.588,4358.492,5836.906,10.9809,15510.551,368889.449,9139.551
1980,15364.911,4647.720,6017.519,10.9863,16052.470,368347.530,9681.470
2040,15854.450,4950.256,6197.966,10.9917,16609.293,367790.707,10238.293
2100,16353.865,5266.399,6378.243,10.9971,17180.915,367219.085,10809.915
2160,16862.809,5596.438,6558.346,11.0025,17767.229,366632.771,11396.229
2220,17380.933,5940.658,6738.269,11.0078,18368.131,366031.869,11997.131
