GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AETHER Mission Control Simulator,com.example.demoaether,CalculationHistoryEntry,9,42,0,0,3,15,3,6,3,6
AETHER Mission Control Simulator,com.example.demoaether,MissionReportEntry,33,0,0,0,12,0,6,0,6,0
AETHER Mission Control Simulator,com.example.demoaether,ReportGenerator,23,466,8,16,5,88,8,13,1,8
AETHER Mission Control Simulator,com.example.demoaether,TelemetryViewModel,0,103,0,0,0,19,0,7,0,7
AETHER Mission Control Simulator,com.example.demoaether,RepositoryFactory,32,0,4,0,9,0,3,0,1,0
AETHER Mission Control Simulator,com.example.demoaether,TrajectoryPlayback,257,161,27,9,67,27,25,6,9,4
AETHER Mission Control Simulator,com.example.demoaether,MissionEventEntry,27,0,0,0,10,0,5,0,5,0
AETHER Mission Control Simulator,com.example.demoaether,MissionLogger,8,108,2,2,3,26,2,3,0,3
AETHER Mission Control Simulator,com.example.demoaether,MissionTrajectory,4,51,2,2,0,11,2,6,0,6
AETHER Mission Control Simulator,com.example.demoaether,OrbitFactory,3,59,0,0,1,12,1,1,1,1
AETHER Mission Control Simulator,com.example.demoaether,MissionPhaseTimeline.Phase,9,71,0,0,3,12,3,2,3,2
AETHER Mission Control Simulator,com.example.demoaether,MissionTrajectoryProjector.ProjectedPoint,0,9,0,0,0,1,0,1,0,1
AETHER Mission Control Simulator,com.example.demoaether,DeploymentVerifier,46,0,2,0,17,0,3,0,2,0
AETHER Mission Control Simulator,com.example.demoaether,OrekitInitializer.OrekitDataSource,0,9,0,0,0,1,0,1,0,1
AETHER Mission Control Simulator,com.example.demoaether,MissionPhaseTimeline,53,396,14,32,11,76,12,23,0,12
AETHER Mission Control Simulator,com.example.demoaether,MissionPhaseTimeline.Transition,0,9,0,0,0,1,0,1,0,1
AETHER Mission Control Simulator,com.example.demoaether,DatabaseConfig,72,0,8,0,19,0,11,0,7,0
AETHER Mission Control Simulator,com.example.demoaether,ArtemisReferenceTrajectoryLoader,11,303,4,20,3,65,4,15,0,7
AETHER Mission Control Simulator,com.example.demoaether,MissionConfig,58,226,15,23,13,52,20,29,5,25
AETHER Mission Control Simulator,com.example.demoaether,OrekitInitializer,97,93,17,9,19,29,13,5,1,4
AETHER Mission Control Simulator,com.example.demoaether,MissionState,36,98,3,3,18,27,12,14,9,14
AETHER Mission Control Simulator,com.example.demoaether,MissionTrajectoryProjector,84,971,18,52,9,149,19,46,1,29
AETHER Mission Control Simulator,com.example.demoaether,OrekitTrajectoryPlanner,11,346,3,7,3,68,3,13,1,10
AETHER Mission Control Simulator,com.example.demoaether,MissionSimulator,680,185,33,15,131,52,41,14,20,11
